symbol,date,open,high,low,close,volume
GXH.NZ,2023-11-15,1.2,1.21,1.19,1.21,9716
GXH.NZ,2023-11-16,1.21,1.22,1.17,1.18,93524
GXH.NZ,2023-11-17,1.18,1.19,1.18,1.19,2101
GXH.NZ,2023-11-20,1.19,1.21,1.18,1.18,36125
GXH.NZ,2023-11-21,1.17,1.2,1.17,1.2,3108
GXH.NZ,2023-11-22,1.19,1.2,1.17,1.17,3702
GXH.NZ,2023-11-23,1.19,1.19,1.17,1.17,2073
GXH.NZ,2023-11-24,1.19,1.21,1.19,1.19,20208
GXH.NZ,2023-11-27,1.2,1.2,1.19,1.19,1456
GXH.NZ,2023-11-28,1.2,1.2,1.19,1.19,4946
GXH.NZ,2023-11-29,1.18,1.18,1.15,1.15,8094
GXH.NZ,2023-11-30,1.13,1.14,1.1,1.1,5720
GXH.NZ,2023-12-01,1.11,1.11,1.1,1.11,1969
GXH.NZ,2023-12-04,1.12,1.12,1.08,1.08,6794
GXH.NZ,2023-12-05,1.07,1.07,0.98,0.98,38735
GXH.NZ,2023-12-06,1,1.01,0.99,1.01,46163
GXH.NZ,2023-12-07,1.02,1.02,0.99,0.99,6714
GXH.NZ,2023-12-08,1,1.01,1,1,34292
GXH.NZ,2023-12-11,1,1,0.99,1,6341
GXH.NZ,2023-12-12,0.99,1,0.98,1,42190
GXH.NZ,2023-12-13,1.01,1.04,1,1.01,25128
GXH.NZ,2023-12-14,1,1.01,1,1.01,3984
GXH.NZ,2023-12-15,1.02,1.02,1,1,4542
GXH.NZ,2023-12-18,1.02,1.03,1.01,1.02,6327
GXH.NZ,2023-12-19,1.03,1.04,1,1.04,20248
GXH.NZ,2023-12-20,1.04,1.08,1.02,1.08,10114
GXH.NZ,2023-12-21,1.1,1.14,1.1,1.14,32060
GXH.NZ,2023-12-22,1.12,1.15,1.11,1.11,18568
GXH.NZ,2023-12-27,1.11,1.12,1.11,1.12,2141
GXH.NZ,2023-12-28,1.13,1.13,1.1,1.1,18910
GXH.NZ,2023-12-29,1.1,1.1,1.09,1.09,1391
GXH.NZ,2024-01-03,1.1,1.13,1.1,1.13,12254
GXH.NZ,2024-01-04,1.14,1.15,1.12,1.12,17197
GXH.NZ,2024-01-05,1.14,1.15,1.1,1.1,12769
GXH.NZ,2024-01-08,1.12,1.13,1.12,1.12,13713
GXH.NZ,2024-01-09,1.1,1.13,1.1,1.13,17123
GXH.NZ,2024-01-10,1.12,1.12,1.11,1.12,11106
GXH.NZ,2024-01-11,1.11,1.12,1.1,1.12,6262
GXH.NZ,2024-01-12,1.1,1.12,1.1,1.12,3621
GXH.NZ,2024-01-15,1.12,1.12,1.11,1.12,2828
GXH.NZ,2024-01-16,1.1,1.12,1.1,1.12,3332
GXH.NZ,2024-01-17,1.1,1.11,1.09,1.1,8015
GXH.NZ,2024-01-18,1.1,1.1,1.09,1.1,3871
GXH.NZ,2024-01-19,1.1,1.1,1.09,1.09,16114
GXH.NZ,2024-01-22,1.11,1.11,1.1,1.1,2663
GXH.NZ,2024-01-23,1.08,1.11,1.08,1.11,3045
GXH.NZ,2024-01-24,1.11,1.13,1.11,1.13,25801
GXH.NZ,2024-01-25,1.14,1.14,1.13,1.13,6244
GXH.NZ,2024-01-26,1.15,1.16,1.15,1.16,21652
